Build Date	Time	Job Pixels	Fed	Error	Max	Min	Vol	Area	Shell	Core	Thickness	Name	Version	Powder	Color/Mono	ToolComp	Est Time	Est Pixels	Head0	Comments

8/3/2020	65	9.81e+008	0.00	0	66	25	0.86	5.85	1.17	0.58	0.0040	rock-test.stl	1.03.8	ZP151	Mono	Y	54	0.0	5.44928776e+009	
8/4/2020	66	1.05e+009	0.00	0	66	25	1.05	6.71	1.17	0.58	0.0040	rock-test.stl	1.03.8	ZP151	Mono	Y	59	0.0	6.49092210e+009	
8/5/2020	651	1.71e+010	0.00	0	69	25	78.54	209.59	1.17	0.58	0.0040	c3_0804.stl	1.03.8	ZP151	Mono	Y	576	0.0	2.35225464e+010	
8/5/2020	695	2.13e+010	0.00	0	73	25	106.34	287.76	1.17	0.58	0.0040	b3_0805.stl	1.03.8	ZP151	Mono	Y	623	0.0	4.47213094e+010	
8/10/2020	66	1.05e+009	0.00	0	66	25	1.05	6.71	1.17	0.58	0.0040	rock-test.stl	1.03.8	ZP151	Mono	Y	58	0.0	4.24341380e+009	
8/11/2020	571	1.75e+010	0.00	0	69	25	86.04	282.92	1.17	0.58	0.0040	c2_0811.stl	1.03.8	ZP151	Mono	Y	523	0.0	2.16477350e+010	
8/12/2020	338	1.00e+010	0.00	0	69	25	48.84	170.95	1.17	0.58	0.0040	c2base_0812.stl	1.03.8	ZP151	Mono	Y	318	0.0	3.16489280e+010	
8/13/2020	728	2.14e+010	0.00	0	73	25	107.88	294.72	1.17	0.58	0.0040	a2_0811.stl	1.03.8	ZP151	Mono	Y	628	0.0	5.29401827e+010	
